"barcode"	"date"	"template"
"1000216"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000217"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000218"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000219"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000220"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000221"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000222"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000223"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000224"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000225"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000226"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000227"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000228"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000229"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000230"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000231"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000232"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000233"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000234"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000235"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000236"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000237"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000238"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000239"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000240"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000241"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000242"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000243"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000244"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000245"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000246"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000247"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000248"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000249"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000250"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000251"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000252"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000253"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000254"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000255"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000256"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000257"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000258"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000259"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000260"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000261"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000262"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000263"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000264"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000265"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000266"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000267"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000268"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000269"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000270"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000271"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000272"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000273"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000274"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000275"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000276"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000277"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000278"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000279"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000280"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000281"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000282"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000283"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000284"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000285"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000286"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000287"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000288"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000289"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000290"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000291"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000292"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000293"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000294"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000295"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000296"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000297"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000298"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000299"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000300"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000301"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000302"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000303"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
